scenario,seed,metric,metric_label,unit,value,fixed_no_mpc_value,improvement_vs_fixed_no_mpc_pct
fixed_no_mpc,10000,total_delay,Total delay,s,17761.66099,17761.66099,0
fixed_no_mpc,10001,total_delay,Total delay,s,17846.39028,17846.39028,0
fixed_no_mpc,10002,total_delay,Total delay,s,18009.8059,18009.8059,0
fixed_no_mpc,10003,total_delay,Total delay,s,18015.63477,18015.63477,0
fixed_no_mpc,10004,total_delay,Total delay,s,18379.70906,18379.70906,0
fixed_no_mpc,10000,avg_queue_count,Mean queue,vehicles,23.07933333,23.07933333,0
fixed_no_mpc,10001,avg_queue_count,Mean queue,vehicles,23.21983333,23.21983333,0
fixed_no_mpc,10002,avg_queue_count,Mean queue,vehicles,23.50733333,23.50733333,0
fixed_no_mpc,10003,avg_queue_count,Mean queue,vehicles,23.37766667,23.37766667,0
fixed_no_mpc,10004,avg_queue_count,Mean queue,vehicles,23.98733333,23.98733333,0
fixed_no_mpc,10000,arrived_count,Throughput,vehicles,528,528,0
fixed_no_mpc,10001,arrived_count,Throughput,vehicles,530,530,0
fixed_no_mpc,10002,arrived_count,Throughput,vehicles,533,533,0
fixed_no_mpc,10003,arrived_count,Throughput,vehicles,529,529,0
fixed_no_mpc,10004,arrived_count,Throughput,vehicles,523,523,0
fixed_no_mpc,10000,hdv_fuel_g,HDV fuel,g,8993.111951,8993.111951,0
fixed_no_mpc,10001,hdv_fuel_g,HDV fuel,g,9437.542216,9437.542216,0
fixed_no_mpc,10002,hdv_fuel_g,HDV fuel,g,9710.21728,9710.21728,0
fixed_no_mpc,10003,hdv_fuel_g,HDV fuel,g,9133.201494,9133.201494,0
fixed_no_mpc,10004,hdv_fuel_g,HDV fuel,g,10133.36176,10133.36176,0
fixed_no_mpc,10000,actual_cav_energy_kwh,CAV energy,kWh,8.393808408,8.393808408,0
fixed_no_mpc,10001,actual_cav_energy_kwh,CAV energy,kWh,8.166838896,8.166838896,0
fixed_no_mpc,10002,actual_cav_energy_kwh,CAV energy,kWh,7.829283332,7.829283332,0
fixed_no_mpc,10003,actual_cav_energy_kwh,CAV energy,kWh,7.972211663,7.972211663,0
fixed_no_mpc,10004,actual_cav_energy_kwh,CAV energy,kWh,7.735356149,7.735356149,0
fixed_no_mpc,10000,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.485970131,0.485970131,0
fixed_no_mpc,10001,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.493059999,0.493059999,0
fixed_no_mpc,10002,actual_cav_mean_abs_acc,Mean |acceleration|,m s$^{-2}$,0.487353761,0.487353761,0
