condition_id,traffic_volume_veh_per_hour,cav_penetration,cav_penetration_percent,seed_count,vehicle_delay s/veh,avg_queue_count,hdv_fuel g/veh,cav_energy kwh/veh,cav_mean_abs_jerk_mps3,wall_time_sec
q2400_p000,2400,0,0,5,16.351887,6.121367,16.780913,,,77.02578
q2400_p025,2400,0.25,25,5,16.867109,6.388767,17.341688,0.02264,3.856006,81.443848
q2400_p050,2400,0.5,50,5,16.579098,6.221833,16.185324,0.023917,3.877631,152.309102
q2400_p075,2400,0.75,75,5,16.832553,6.348067,17.358924,0.023757,3.99172,118.078906
q2400_p100,2400,1,100,5,16.890232,6.396,,0.024022,4.021472,83.360731
q3000_p000,3000,0,0,5,15.84186,7.161933,16.427597,,,87.638237
q3000_p025,3000,0.25,25,5,16.143943,7.326167,16.658958,0.023531,4.024448,94.128513
q3000_p050,3000,0.5,50,5,16.07222,7.2646,15.940721,0.024328,4.021526,96.832384
q3000_p075,3000,0.75,75,5,16.505382,7.561067,16.107667,0.024247,4.059163,97.773224
q3000_p100,3000,1,100,5,16.29039,7.430333,,0.024635,4.268611,95.9759
q3600_p000,3600,0,0,5,16.027801,8.597167,16.480804,,,104.910766
q3600_p025,3600,0.25,25,5,16.188428,8.724867,16.493302,0.024527,4.086607,114.528106
q3600_p050,3600,0.5,50,5,16.410295,8.903,16.145291,0.025057,4.106693,119.268638
q3600_p075,3600,0.75,75,5,16.376532,8.832333,15.903566,0.025001,4.24964,117.433658
q3600_p100,3600,1,100,5,16.121335,8.638967,,0.025534,4.558285,109.06028
q4200_p000,4200,0,0,5,16.514718,10.363967,16.719755,,,122.696412
q4200_p025,4200,0.25,25,5,16.612098,10.449467,16.710292,0.025269,4.214282,135.133409
q4200_p050,4200,0.5,50,5,16.460437,10.264667,16.172189,0.025622,4.251045,139.281096
q4200_p075,4200,0.75,75,5,16.510435,10.327,16.086309,0.025542,4.434117,136.799769
q4200_p100,4200,1,100,5,16.348001,10.1791,,0.02621,4.791583,126.022724
