parameter,level_order,level_value,is_default_level,config_id,seed,rear_ttc_below_1_5_share,rear_hdv_emergency_braking_rate_per_veh_hour,delay s/veh,
chance_sigma,0,0,FALSE,chance_sigma__0,10000,0.029%,79.65415822,19.96589259,
chance_sigma,0,0,FALSE,chance_sigma__0,10001,0.038%,126.5486591,19.43768086,
chance_sigma,0,0,FALSE,chance_sigma__0,10002,0.021%,85.01843723,20.51865063,
chance_sigma,0,0,FALSE,chance_sigma__0,10003,0.002%,83.71576934,20.1372541,
chance_sigma,0,0,FALSE,chance_sigma__0,10004,0.028%,129.1994978,19.49184369,
chance_sigma,0,0,FALSE,chance_sigma__0,10005,0.041%,54.91878142,19.85055463,
chance_sigma,0,0,FALSE,chance_sigma__0,10006,0.061%,146.9423202,19.98505871,
chance_sigma,0,0,FALSE,chance_sigma__0,10007,0.012%,112.1313054,19.83697392,
chance_sigma,0,0,FALSE,chance_sigma__0,10008,0.010%,105.9861432,19.75753649,
chance_sigma,0,0,FALSE,chance_sigma__0,10009,0.091%,44.29879831,19.96250889,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10000,0.076%,123.8880886,18.06589259,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10001,0.038%,170.8023321,17.53768086,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10002,0.068%,129.254626,18.61865063,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10003,0.049%,127.9514097,18.2372541,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10004,0.075%,173.4542868,17.59184369,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10005,0.088%,99.14229823,17.95055483,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10006,0.108%,191.2045789,18.08505872,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10007,0.059%,156.3789087,17.93697392,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10008,0.010%,150.2311594,17.85754848,
chance_sigma,1,0.01,FALSE,chance_sigma__0p01,10009,0.040%,88.51784411,18.06250889,
chance_sigma,2,0.05,TRUE,baseline,10000,0.127%,157.0488502,16.46589259,
chance_sigma,2,0.05,TRUE,baseline,10001,0.038%,205.2242967,15.93782345,
chance_sigma,2,0.05,TRUE,baseline,10002,0.119%,162.4265935,17.01865446,
chance_sigma,2,0.05,TRUE,baseline,10003,0.100%,161.1206559,16.63725723,
chance_sigma,2,0.05,TRUE,baseline,10004,0.126%,206.7185486,15.99184478,
chance_sigma,2,0.05,TRUE,baseline,10005,0.139%,132.2513876,16.35055483,
chance_sigma,2,0.05,TRUE,baseline,10006,0.159%,224.5059054,16.48506219,
chance_sigma,2,0.05,TRUE,baseline,10007,0.110%,189.607515,16.33697392,
chance_sigma,2,0.05,TRUE,baseline,10008,0.010%,183.4469284,16.25754955,
chance_sigma,2,0.05,TRUE,baseline,10009,0.091%,121.6047483,16.46250902,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10000,0.224%,350.6045043,16.16589259,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10001,0.135%,397.6636049,15.63768086,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10002,0.216%,355.9876119,16.71865446,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10003,0.197%,354.6803717,16.33725723,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10004,0.223%,400.323748,15.69184478,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10005,0.236%,325.7823063,16.05055483,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10006,0.256%,418.1288477,16.18506219,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10007,0.207%,383.1956463,16.03697392,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10008,0.107%,377.0289145,15.95754955,
chance_sigma,3,0.1,FALSE,chance_sigma__0p1,10009,0.188%,315.1250471,16.16250902,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10000,0.364%,432.626553,15.56589259,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10001,0.275%,480.7654779,15.03782345,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10002,0.356%,438.0002195,16.11865446,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10003,0.337%,436.6952719,15.73725723,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10004,0.363%,482.2585969,15.09184478,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10005,0.376%,407.8478893,15.45055483,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10006,0.396%,500.0324692,15.58506219,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10007,0.347%,465.1605352,15.43697392,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10008,0.247%,459.0046189,15.35754955,
chance_sigma,4,0.2,FALSE,chance_sigma__0p2,10009,0.328%,397.2093212,15.56250902,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
