parameter,level_order,level_value,is_default_level,config_id,seed,rear_ttc_p05_s,traj_success_rate,delay_per_arrived_vehicle_s
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10000,2.177783829158284,1.0,16.4658925868532
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10001,2.184952580299356,1.0,15.937680859758492
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10002,2.160355679977972,1.0,17.018654457784024
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10003,2.166295493493871,1.0,16.637257228361413
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10004,2.163391945223167,1.0,15.991844775498363
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10005,2.181622925017999,1.0,16.35055482825778
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10006,2.163250791005769,1.0,16.48506219492692
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10007,2.1579970902356806,1.0,16.336973920788772
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10008,2.1510931099486243,1.0,16.257549554802562
hdv_position_noise_std,0,0.0,False,hdv_position_noise_std__0,10009,2.159886341864546,1.0,16.462509024419592
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10000,2.177783829158284,1.0,16.465892586853258
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10001,2.184943866721314,1.0,15.937823454484247
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10002,2.160355679977972,1.0,17.01865445778422
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10003,2.166295493493871,1.0,16.637257228361605
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10004,2.163391945223167,1.0,15.991844775498475
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10005,2.181622925017999,1.0,16.350554828258037
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10006,2.163250791005769,1.0,16.48506219492704
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10007,2.1579970902356806,1.0,16.336973920789035
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10008,2.1510931099486243,1.0,16.25754955480268
hdv_position_noise_std,1,0.25,False,hdv_position_noise_std__0p25,10009,2.159886341864546,1.0,16.46250902441971
hdv_position_noise_std,2,0.5,True,baseline,10000,2.177783829158284,1.0,16.465892586853354
hdv_position_noise_std,2,0.5,True,baseline,10001,2.1849438667210896,1.0,15.937823454484258
hdv_position_noise_std,2,0.5,True,baseline,10002,2.160355679977972,1.0,17.018654457784024
hdv_position_noise_std,2,0.5,True,baseline,10003,2.166295493493871,1.0,16.637257228361435
hdv_position_noise_std,2,0.5,True,baseline,10004,2.163391945223167,1.0,15.991844775498558
hdv_position_noise_std,2,0.5,True,baseline,10005,2.181622925017999,1.0,16.350554828257945
hdv_position_noise_std,2,0.5,True,baseline,10006,2.163250791005769,1.0,16.48506219492705
hdv_position_noise_std,2,0.5,True,baseline,10007,2.1579970902356806,1.0,16.33697392078903
hdv_position_noise_std,2,0.5,True,baseline,10008,2.1510931099486243,1.0,16.257549554802583
hdv_position_noise_std,2,0.5,True,baseline,10009,2.159886341864546,1.0,16.46250902441957
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10000,2.177783829158284,1.0,16.465891932225585
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10001,2.1849525803036047,1.0,15.937680859758025
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10002,2.160355679977972,1.0,17.018650633433
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10003,2.166295493493871,1.0,16.637254102166015
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10004,2.163391945223167,1.0,15.991843685608664
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10005,2.181622925017999,1.0,16.350554292303052
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10006,2.163250791005769,1.0,16.485058708752785
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10007,2.1579970902356806,1.0,16.336973920788086
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10008,2.1510931099486243,1.0,16.25753648766452
hdv_position_noise_std,3,0.75,False,hdv_position_noise_std__0p75,10009,2.159886341864546,1.0,16.46250902441903
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10000,2.177783829158284,1.0,16.465891932225517
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10001,2.184952580303599,1.0,15.937634540041115
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10002,2.160355679977972,1.0,17.018650633432973
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10003,2.166295493493871,1.0,16.637254102165933
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10004,2.163391945223167,1.0,15.991843685608618
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10005,2.181622925017999,1.0,16.350553519944445
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10006,2.163250791005769,1.0,16.48505767218042
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10007,2.1579970902356806,1.0,16.33697392078785
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10008,2.1510931099486243,1.0,16.25751792263889
hdv_position_noise_std,4,1.0,False,hdv_position_noise_std__1,10009,2.159886341864546,1.0,16.462508736284157
