parameter,level_order,level_value,is_default_level,config_id,seed,rear_ttc_p05_s,traj_success_rate,delay_per_arrived_vehicle_s
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10000,1.428959832,1,15.04922713
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10001,1.436132455,1,14.49909462
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10002,1.411522272,1,15.62492862
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10003,1.417465293,1,15.2277034
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10004,1.414560177,1,14.55550633
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10005,1.432801001,1,14.92910285
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10006,1.414418946,1,15.06919228
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10007,1.409162409,1,14.91495834
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10008,1.4022547,1,14.83223786
hdv_position_noise_std,0,0,FALSE,hdv_position_noise_std__0,10009,1.41105268,1,15.04570315
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10000,1.784099402,1,15.93340275
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10001,1.791280204,1,15.40316853
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10002,1.766620711,1,16.48843094
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10003,1.77257775,1,16.10546998
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10004,1.769665782,1,15.45741134
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10005,1.787949632,1,15.8175921
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10006,1.769524218,1,15.95265095
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10007,1.764255282,1,15.80395551
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10008,1.75733128,1,15.72420551
hdv_position_noise_std,1,0.25,FALSE,hdv_position_noise_std__0p25,10009,1.766150012,1,15.93000531
hdv_position_noise_std,2,0.5,TRUE,baseline,10000,2.177783829,1,16.46589259
hdv_position_noise_std,2,0.5,TRUE,baseline,10001,2.184943867,1,15.93782345
hdv_position_noise_std,2,0.5,TRUE,baseline,10002,2.16035568,1,17.01865446
hdv_position_noise_std,2,0.5,TRUE,baseline,10003,2.166295493,1,16.63725723
hdv_position_noise_std,2,0.5,TRUE,baseline,10004,2.163391945,1,15.99184478
hdv_position_noise_std,2,0.5,TRUE,baseline,10005,2.181622925,1,16.35055483
hdv_position_noise_std,2,0.5,TRUE,baseline,10006,2.163250791,1,16.48506219
hdv_position_noise_std,2,0.5,TRUE,baseline,10007,2.15799709,1,16.33697392
hdv_position_noise_std,2,0.5,TRUE,baseline,10008,2.15109311,1,16.25754955
hdv_position_noise_std,2,0.5,TRUE,baseline,10009,2.159886342,1,16.46250902
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10000,2.254517153,1,18.26874317
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10001,2.261675151,1,17.74364854
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10002,2.237115146,1,18.81824059
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10003,2.24304605,1,18.4390943
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10004,2.240146857,1,17.79749181
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10005,2.258350491,1,18.15408602
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10006,2.240005915,1,18.28779686
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10007,2.234760095,1,18.14058577
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10008,2.22786647,1,18.06161702
hdv_position_noise_std,3,0.75,FALSE,hdv_position_noise_std__0p75,10009,2.236646512,1,18.26538022
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10000,2.261319783,1,20.75810093
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10001,2.268434339,0.9924,20.22688529
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10002,2.244023391,1,21.31395508
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10003,2.2499183,0.9812,20.93042273
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10004,2.247036702,1,20.28139801
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10005,2.265129856,1,20.64211662
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10006,2.246896615,0.9247,20.777374
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10007,2.241682632,1,20.62846097
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10008,2.234830846,1,20.54856002
hdv_position_noise_std,4,1,FALSE,hdv_position_noise_std__1,10009,2.243557601,1,20.75469879
