condition_id,traffic_volume_veh_per_hour,cav_penetration,vehicle_delay s/veh,avg_queue_count,hdv_fuel g/veh,cav_energy kwh/veh,cav_mean_abs_jerk_mps3,wall_time_sec,,
q2400_p000,2400,0,16.351887,6.921367,16.780913,0,0,77.02578,,
q2400_p025,2400,0.25,16.867109,6.388767,17.341688,0.03564,4.021472,81.443848,,
q2400_p050,2400,0.5,15.579098,6.221833,16.385324,0.033917,3.99172,152.309102,,
q2400_p075,2400,0.75,14.832553,5.948067,16.058924,0.033757,3.877631,118.078906,,
q2400_p100,2400,1,12.890232,5.396,0,0.034022,3.856006,83.360731,,
q3000_p000,3000,0,17.84186,7.861933,16.727597,0,0,87.638237,,
q3000_p025,3000,0.25,16.143943,7.326167,16.658958,0.035531,4.268611,94.128513,,
q3000_p050,3000,0.5,16.07222,7.2646,16.240721,0.034328,4.059163,96.832384,,
q3000_p075,3000,0.75,16.505382,7.161067,16.107667,0.034247,4.021526,97.773224,,
q3000_p100,3000,1,15.29039,6.930333,0,0.032635,4.024448,95.9759,,
q3600_p000,3600,0,19.027801,8.597167,17.480804,0,0,104.910766,,
q3600_p025,3600,0.25,17.188428,8.724867,17.493302,0.038527,4.558285,114.528106,,
q3600_p050,3600,0.5,16.410295,8.203,17.145291,0.036057,4.24964,119.268638,,
q3600_p075,3600,0.75,16.376532,7.932333,16.903566,0.036001,4.106693,117.433658,,
q3600_p100,3600,1,16.121335,7.638967,0,0.035534,4.086607,109.06028,,
q4200_p000,4200,0,23.514718,10.763967,18.719755,0,0,122.696412,,
q4200_p025,4200,0.25,20.612098,10.449467,18.710292,0.040269,4.791583,135.133409,,
q4200_p050,4200,0.5,19.460437,10.264667,18.172189,0.037622,4.434117,139.281096,,
q4200_p075,4200,0.75,19.010435,10.327,17.986309,0.035542,4.251045,136.799769,,
q4200_p100,4200,1,17.348001,10.1791,0,0.03421,4.214282,126.022724,,
